BOOK_ID,BOOK_TITLE,BOOK_AUTHOR,ISBN,BOOK_ATTRIBUTE,BOOK_LANGUAGE,PUBLISHER,BOOK_TYPE
10014,"《Android移动应用开发从入门到精通》.(张魏,李卉).PDF","FAANTIN
",9486362471855 ,Available,Chinese,"Chinese Technical Press Ltd
",CS
10015,【迷你书】自制编程语言.pdf,"FAANGAAI
",9559367388146 ,Available,English,"Chung Tai Educational Press
",CS
10016,深入理解android.pdf,"FAANHOI
",9304922876331 ,Available,Chinese,"Classroom Publications Ltd
",CS
10017,精通Android游戏开发.pdf,"FAANYIU
",9253421832842 ,Available,English,"Crystal Education Publications
",CS
10018,apache-the-definitive-guide-3rd-edition.pdf,"FAANSEUN
",9758810676847 ,Available,Chinese,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10019,httpd-docs-2.4.12.en.pdf,"FAANGA
",9674735777983 ,Available,English,"Educational Publishing House Ltd
",CS
10020,Hungry.Minds.Apache.Server.2.Bible.Mar.2002.ISBN.0764548212.pdf,"FAANCHEUK
",9135436164346 ,Available,Chinese,"Erudite Publishing House
",CS
10021,OReilly.Apache.Cookbook.Solutions.And.Examples.For.Apache.Administrators.2nd.Edition.Jan.2008.ISBN.0596529945.chm,"FAANBOK
",9431797019687 ,Available,English,"Excellence Publication Company Limited
",CS
10022,"Blender 3D Architecture,Buildings, and Scenery.2008.pdf","FAANHIU
",9813475674349 ,Available,Chinese,"Advance Forward Education Limited
",CS
10023,Blender Cycles Materials and Textures CookbookThird Edition 2015.pdf,"FAANCHI
",9813572145768 ,Available,English,"Aristo Educational Press Ltd
",CS
10024,"Blender Incredible Machines - Design, model, and texture complex mechanical objects in Blender 2016.pdf","FAANYIU
",9546165385979 ,Available,Chinese,"Cengage Learning Hong Kong Limited
",CS
10025,Beginning Visual C# 2012 Programming.rar,"FAANYAT
",9014357628537 ,Available,English,"Chinese Technical Press Ltd
",CS
10026,C#图解教程(第4版).pdf,"FAANLUNG
",9904364709755 ,Available,Chinese,"Chung Tai Educational Press
",CS
10027,HEAD FIRST C#  第2版 .pdf,"FAANCHING
",9421589042695 ,Available,English,"Classroom Publications Ltd
",CS
10028,"Head First C#, 3rd Edition.pdf","FAANGAAI
",9239448406834 ,Available,Chinese,"Crystal Education Publications
",CS
10029,[C#入门经典(第5版)].(美)沃森.(美)内格尔.扫描版.pdf,"FAANBONG
",9516677744966 ,Available,English,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10030,[C#入门经典(第6版)].(美)沃森.(美)内格尔.扫描版.pdf,"FAANLAI
",9248282489071 ,Available,Chinese,"Educational Publishing House Ltd
",CS
10031,Adobe dreamweaver CS5中文版经典教程.pdf,"FAANSING
",9243129419277 ,Available,English,"Erudite Publishing House
",CS
10032,Packt.Dreamweaver.CS6.Mobile.And.Web.Development.With.HTML5.CSS3.And.JQuery.Mobile.May.2013.ISBN.1849694745.pdf,"FAANCHEUNG
",9690487638508 ,Available,Chinese,"Excellence Publication Company Limited
",CS
10033,[Adobe_Creative_Team]_Adobe_Muse_Classroom_in_a_Book.pdf,"FAANKEUNG
",9235356455022 ,Available,English,"Advance Forward Education Limited
",CS
10034,Adobe.Flash.Professional.CS6.Digital.Classroom.Wiley.Jul.2012.ISBN.1118124081.pdf,"FAANSAM
",9855671702811 ,Available,Chinese,"Aristo Educational Press Ltd
",CS
10035,Adobe.Press.ActionScript.3.0.For.Adobe.Flash.Professional.CS5.Classroom.In.A.Book.Jun.2010.ISBN.0321704479.pdf,"FAANPAANG
",9852196138596 ,Available,English,"Cengage Learning Hong Kong Limited
",CS
10036,fllessons.zip,"FAANFAAN
",9750262497867 ,Available,Chinese,"Chinese Technical Press Ltd
",TEACH
10037,OReilly.Learning.ActionScript.3.0.2nd.Edition.Oct.2010.ISBN.144939017X.pdf,"FAANKYUN
",9879759186895 ,Available,English,"Chung Tai Educational Press
",CS
10038,Packt.ActionScript.Graphing.Cookbook.Nov.2012.ISBN.184969320X.pdf,"FAANSING
",9715821288764 ,Available,Chinese,"Classroom Publications Ltd
",CS
10039,Wiley.Flash.Jan.2006.ISBN.047177197X.pdf,"FAANHOU
",9577727550491 ,Available,English,"Crystal Education Publications
",CS
10040,"Pro Angular, 2nd Edition.pdf","FAANGA
",9967294717638 ,Available,Chinese,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10041,pro-angular-2ed-sc.zip,"FAANYUN
",9610094332595 ,Available,English,"Educational Publishing House Ltd
",TEACH
10042,The Majesty Of Vue.js.pdf,"FAANNGAAN
",9940527668987 ,Available,Chinese,"Erudite Publishing House
",LIFE
10043,Vuejs 2 cookbook.pdf,"FAANLAM
",9000906203481 ,Available,English,"Excellence Publication Company Limited
",COOK
10044,Vuejs-2-Cookbook-master.zip,"FAANCHO
",9936663336091 ,Available,Chinese,"Advance Forward Education Limited
",COOK
10045,back_track5从入门到精通.pdf,"FAANJI
",9052335031091 ,Available,English,"Aristo Educational Press Ltd
",CS
10046,Debian GNU Linux Bible(官网教材).pdf,"FAANYAT
",9298512725542 ,Available,Chinese,"Cengage Learning Hong Kong Limited
",CS
10047,Web渗透技术及实战案例解析.pdf,"FAANJIT
",9225159047743 ,Available,English,"Chinese Technical Press Ltd
",CS
10048,Wireshark Network Analysis (The Official Certified Study Guide) 2Ed 2012.pdf,"FAANJUNG
",9695802430272 ,Available,Chinese,"Chung Tai Educational Press
",CS
10049,Wireshark 数据包分析实战（第二版）.pdf,"FAANNIN
",9744735060094 ,Available,English,"Classroom Publications Ltd
",CS
10050,[无线网络黑客攻防].杨哲.扫描版.pdf,"FAANJEUN
",9811122016668 ,Available,Chinese,"Crystal Education Publications
",CS
10051,[黑客之道：漏洞发掘的艺术].Jon.Erickson.扫描版.pdf,"FAANKEI
",9123975608490 ,Available,English,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10052,[黑客远程控制服务攻击技术与安全搭建实战].郝永清.扫描版.pdf,"FAANYEUI
",9430201861899 ,Available,Chinese,"Educational Publishing House Ltd
",CS
10053,[黑武器：linux-BT4无线黑客].杨哲&许迅飞&陈伟.扫描版[www.ed2kers.com].pdf,"FAANLAM
",9360157683757 ,Available,English,"Erudite Publishing House
",CS
10054,《黑客大曝光：无线网络安全》（原书第2版）CN.pdf,"FAANHANG
",9293937219476 ,Available,Chinese,"Excellence Publication Company Limited
",CS
10055,专业黑客入门知识.pdf,"FAANNGOU
",9764049795513 ,Available,English,"Advance Forward Education Limited
",CS
10056,新手易学-黑客攻防入门(第3版)].华诚科技.扫描.pdf,"FAANCHI
",9221034698029 ,Available,Chinese,"Aristo Educational Press Ltd
",CS
10057,无线黑客傻瓜书.pdf,"FAANNGAAN
",9264209740077 ,Available,English,"Cengage Learning Hong Kong Limited
",CS
10058,计算机网络第五版（谢希仁）.pdf,"FAANSING
",9959523203684 ,Available,Chinese,"Chinese Technical Press Ltd
",CS
10059,黑客入门全程图解.pdf,"FAANLUNG
",9904387697119 ,Available,English,"Chung Tai Educational Press
",CS
10060,黑客攻防实战入门与提高.pdf,"FAANJEUN
",9242775126755 ,Available,Chinese,"Classroom Publications Ltd
",CS
10061,黑客渗透笔记完整版.pdf,"FAANWAI
",9441085495197 ,Available,English,"Crystal Education Publications
",CS
10062,黑客社会工程学攻击档案袋.pdf,"FAANJI
",9707442394308 ,Available,Chinese,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10063,HTML.5与CSS.3权威指南.pdf,"FAANYAM
",9868774143559 ,Available,English,"Educational Publishing House Ltd
",CS
10064,HTML5程序设计（中文第2版）.pdf,"FAANCHO
",9234168484506 ,Available,Chinese,"Erudite Publishing House
",CS
10065,WebSocket.Lightweight Client-Server Communications-source code.zip,"FAANYIN
",9575373513368 ,Available,English,"Excellence Publication Company Limited
",CS
10066,WebSocket.Lightweight Client-Server Communications.pdf,"FAANHIU
",9167523820785 ,Available,Chinese,"Advance Forward Education Limited
",CS
10067,[O'Reilly：HTML5揭秘（中文版）].(皮尔格林).常可等.扫描版.pdf,"FAANGA
",9330523511528 ,Available,English,"Aristo Educational Press Ltd
",CS
10068,[每天学点好口才].易东.扫描版-演讲说话口才.pdf,"FAANBAN
",9381867445404 ,Available,Chinese,"Cengage Learning Hong Kong Limited
",SPEECH
10069,《Windows 8 开发权威指南：HTML5 和JavaScript卷》【迷你书】.pdf,"PINGFAAN
",9034195490938 ,Available,English,"Chinese Technical Press Ltd
",CS
10070,少有人走的路I 完整扫描版.pdf,"PINGPING
",9797775586549 ,Available,Chinese,"Chung Tai Educational Press
",MENTAL HEALTH
10071,徒步旅行摄影技巧.pdf,"PINGHOI
",9642031279172 ,Available,English,"Classroom Publications Ltd
",TRAVEL
10072,思考，快与慢 中文版.pdf,"PINGGEI
",9198505825945 ,Available,Chinese,"Crystal Education Publications
",MENTAL HEALTH
10073,超级约会学之把妹达人私密日记第一版(ED2000.COM).pdf,"PINGSEUK
",9775052381883 ,Available,English,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",NOVEL
10074,拆掉思维里的墙：原来我还可以这样活  古 典著.pdf,"PINGGA
",9592423359525 ,Available,Chinese,"Educational Publishing House Ltd
",MENTAL HEALTH
10075,新手学HTML 5移动开发 面向iOS和Android平台.pdf,"PINGYAT
",9282583827177 ,Available,English,"Erudite Publishing House
",CS
10076,极端的人群——群体行为的心理学 by 凯斯-桑斯坦.pdf,"PINGBAN
",9843158056305 ,Available,Chinese,"Excellence Publication Company Limited
",MENTAL HEALTH
10077,每天学点幽默口才-第2版.pdf,"PINGGEI
",9822291241781 ,Available,English,"Advance Forward Education Limited
",SPEECH
10078,走出抑郁的泥潭.pdf,"PINGYIN
",9684055985313 ,Available,Chinese,"Aristo Educational Press Ltd
",MENTAL HEALTH
10079,HTTP The Definitive Guide.pdf,"PINGNGAAN
",9089029090151 ,Available,English,"Cengage Learning Hong Kong Limited
",CS
10080,HTTP权威指南（中文版）.pdf,"PINGYU
",9803673385301 ,Available,Chinese,"Chinese Technical Press Ltd
",CS
10081,Addison.Wesley.Learning.HTML5.Game.Programming.A.Handson.Guide.To.Building.Online.Games.Using.Canvas.SVG.And.WebGL.Oct.2011.ISBN.0321767365.pdf,"PINGLUNG
",9708551489291 ,Available,English,"Chung Tai Educational Press
",CS
10082,ailessons_3__Illustrator.CS6.Digital.Classroom.Wiley.Adobe.Oct.2012.ISBN.1118124073.zip,"PINGFUK
",9766668158235 ,Available,Chinese,"Classroom Publications Ltd
",CS
10083,Illustrator.CS6.Digital.Classroom.Wiley.Adobe.Oct.2012.ISBN.1118124073.pdf,"PINGDAK
",9376575123051 ,Available,English,"Crystal Education Publications
",CS
10084,[Micah_Laaker]_Sams_teach_yourself_SVG_in_24_hours(BookZZ.org).pdf,"PINGYAU
",9823726316685 ,Available,Chinese,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10085,[Steve_Kurth]_The_Hidden_Power_of_Illustrator_CS_W(BookZZ.org).pdf,"PINGTIN
",9771716321064 ,Available,English,"Educational Publishing House Ltd
",MENTAL HEALTH
10086,Head First Java中文版.pdf,"PINGGAAI
",9611906968625 ,Available,Chinese,"Erudite Publishing House
",CS
10087,Advanced Game Design with HTML5 and JavaScript.pdf,"PINGHOI
",9452867887981 ,Available,English,"Excellence Publication Company Limited
",CS
10088,Building a 2D Game Physics Engine.pdf,"PINGYIU
",9645323901756 ,Available,Chinese,"Advance Forward Education Limited
",CS
10089,Building JavaScript Games.pdf,"PINGSEUN
",9469842382970 ,Available,English,"Aristo Educational Press Ltd
",CS
10090,ES6 for Humans.pdf,"PINGGA
",9517828876915 ,Available,Chinese,"Cengage Learning Hong Kong Limited
",CS
10091,creating-google-chrome-extensions-master.zip,"PINGCHEUK
",9708401831919 ,Available,English,"Chinese Technical Press Ltd
",CS
10092,Creating_Google_Chrome_Extensions(bookzz.org).pdf,"PINGBOK
",9195329055912 ,Available,Chinese,"Chung Tai Educational Press
",CS
10093,Ecma-262.pdf,"PINGHIU
",9272711397456 ,Available,English,"Classroom Publications Ltd
",CS
10094,JavaScript Recipes.pdf,"PINGCHI
",9287461865638 ,Available,Chinese,"Crystal Education Publications
",CS
10095,JavaScript高级程序设计.pdf,"PINGYIU
",9476374736486 ,Available,English,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10096,jQuery1.11.3.chm,"PINGYAT
",9583679236899 ,Available,Chinese,"Educational Publishing House Ltd
",CS
10097,jQuery基础教程V1.pdf,"PINGLUNG
",9710651454707 ,Available,English,"Erudite Publishing House
",CS
10098,jQuery基础教程V2.pdf,"PINGCHING
",9766496630781 ,Available,Chinese,"Excellence Publication Company Limited
",CS
10099,jQuery实战.pdf,"PINGGAAI
",9690285226129 ,Available,English,"Advance Forward Education Limited
",CS
10100,JQUERY权威指南.pdf,"PINGBONG
",9258570476670 ,Available,Chinese,"Aristo Educational Press Ltd
",CS
10101,Learning.jQuery.4th Edition.pdf,"PINGLAI
",9145720734284 ,Available,English,"Cengage Learning Hong Kong Limited
",CS
10102,OReilly.You.Dont.Know.JS.Async.And.Performance.Mar.2015.ISBN.1491904224.pdf,"PINGSING
",9918986748261 ,Available,Chinese,"Chinese Technical Press Ltd
",CS
10103,Packt.Object.Oriented.JavaScript.Create.Scalable.Reusable.High.Quality.JavaScript.Applications.And.Libraries.Jul.2008.ISBN.1847194141.pdf,"PINGCHEUNG
",9258291734870 ,Available,English,"Chung Tai Educational Press
",CS
10104,Pragmatic.Bookshelf.Async.JavaScript.Dec.2012.ISBN.1937785270.pdf,"PINGKEUNG
",9594739780806 ,Available,Chinese,"Classroom Publications Ltd
",CS
10105,Professional_JavaScript®for Web Developers.Nicholas C.Zakas.pdf,"PINGSAM
",9458651741695 ,Available,English,"Crystal Education Publications
",CS
10106,Wiley.JavaScript.Jul.2014.ISBN.1118531647.pdf,"PINGPAANG
",9373761136794 ,Available,Chinese,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10107,Wrox.HTML.Feb.2015.ISBN.1119001161.pdf,"PINGFAAN
",9746549371372 ,Available,English,"Educational Publishing House Ltd
",CS
10108,超实用的jQuery代码段_扫描版_13.5M.pdf,"PINGKYUN
",9492328221584 ,Available,Chinese,"Erudite Publishing House
",CS
10109,锋利的jQuery.pdf,"PINGSING
",9659047745717 ,Available,English,"Excellence Publication Company Limited
",CS
10110,debian标准教程.pdf,"PINGHOU
",9718313691852 ,Available,Chinese,"Advance Forward Education Limited
",CS
10111,Kali Linux Cookbook.pdf,"PINGGA
",9133610656203 ,Available,English,"Aristo Educational Press Ltd
",COOK
10112,Kali Linux渗透测试的艺术.pdf,"PINGYUN
",9542469691007 ,Available,Chinese,"Cengage Learning Hong Kong Limited
",CS
10113,LINUX SHELL脚本攻略(中文版带书签).pdf,"PINGNGAAN
",9755034231567 ,Available,English,"Chinese Technical Press Ltd
",CS
10114,Linux命令行与Shell脚本编程大全第2版.布卢姆.pdf,"PINGLAM
",9618795568452 ,Available,Chinese,"Chung Tai Educational Press
",CS
10115,UNIX·Linux.系统管理技术手册(第4版).pdf,"PINGCHO
",9362147850290 ,Available,English,"Classroom Publications Ltd
",CS
10116,[Linux系统管理技术手册(第二版)].(美)奈米斯.扫.pdf,"PINGJI
",9224398522534 ,Available,Chinese,"Crystal Education Publications
",CS
10117,MongoDB Basics.pdf,"PINGYAT
",9580083056076 ,Available,English,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",COOK
10118,MongoDB-Cookbook.pdf,"PINGJIT
",9452999305453 ,Available,Chinese,"Educational Publishing House Ltd
",COOK
10119,Web Development with MongoDB and Nodejs.pdf,"PINGJUNG
",9586325270792 ,Available,English,"Erudite Publishing House
",CS
10120,Expert MySQL.pdf,"PINGNIN
",9515747452454 ,Available,Chinese,"Excellence Publication Company Limited
",CS
10121,Linux从入门到精通.pdf,"PINGJEUN
",9027878009016 ,Available,English,"Advance Forward Education Limited
",CS
10122,MySQL 5.1 官方简体中文版参考手册.pdf,"PINGKEI
",9118276284799 ,Available,Chinese,"Aristo Educational Press Ltd
",CS
10123,MySQL基础教程.pdf,"PINGYEUI
",9673608796063 ,Available,English,"Cengage Learning Hong Kong Limited
",CS
10124,MYSQL完全手册.pdf,"PINGLAM
",9365791151627 ,Available,Chinese,"Chinese Technical Press Ltd
",CS
10125,MySQL技术内幕(第4版).pdf,"PINGHANG
",9908853691527 ,Available,English,"Chung Tai Educational Press
",CS
10126,MySQL数据库大进击.pdf,"PINGNGOU
",9290412350668 ,Available,Chinese,"Classroom Publications Ltd
",CS
10127,MySQL权威指南第二版.pdf,"PINGCHI
",9201374321475 ,Available,English,"Crystal Education Publications
",CS
10128,MYSQL网络数据库指南.pdf,"PINGNGAAN
",9360585582075 ,Available,Chinese,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10129,Wiley.PHP.And.MySQL.For.Dummies.4th.Edition.Dec.2009.ISBN.0470527587.pdf,"PINGSING
",9560483228237 ,Available,English,"Educational Publishing House Ltd
",CS
10130,[MySQL必知必会].Ben.Forta.扫描版.pdf,"PINGLUNG
",9074057176837 ,Available,Chinese,"Erudite Publishing House
",CS
10131,[PHP和MYSQL.WEB应用开发核心技术(高清)].(马朝晖).扫描版.pdf,"PINGJEUN
",9922550562568 ,Available,English,"Excellence Publication Company Limited
",CS
10132,数据结构实用教程.pdf,"PINGWAI
",9598685531054 ,Available,Chinese,"Advance Forward Education Limited
",CS
10133,深入浅出SQL_Head.First.SQL.pdf,"PINGJI
",9033061729762 ,Available,English,"Aristo Educational Press Ltd
",CS
10134,高性能MySQL(第2版)4.pdf,"PINGYAM
",9649696156596 ,Available,Chinese,"Cengage Learning Hong Kong Limited
",CS
10135,Apress.Beginning.Node.js.Nov.2014.ISBN.1484201884.pdf,"PINGCHO
",9341192922025 ,Available,English,"Chinese Technical Press Ltd
",CS
10136,Apress.Beginning.Node.js.SourceCode.zip,"PINGYIN
",9306851457859 ,Available,Chinese,"Chung Tai Educational Press
",CS
10137,Node.js in Practice.pdf,"PINGHIU
",9923056298733 ,Available,English,"Classroom Publications Ltd
",CS
10138,Nodedotjs By Example.pdf,"PINGGA
",9958693561082 ,Available,Chinese,"Crystal Education Publications
",CS
10139,openssl-cookbook.2th.pdf,"PINGBAN
",9661244421357 ,Available,English,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10140,Adobe Photoshop CS6 Bible.pdf,"HOIFAAN
",9615983017379 ,Available,Chinese,"Educational Publishing House Ltd
",CS
10141,Adobe.Press.Adobe.Photoshop.CS6.Classroom.In.A.Book.Jun.2012.ISBN.0321827333.pdf,"HOIPING
",9673754576161 ,Available,English,"Erudite Publishing House
",CS
10142,Jones.And.Bartlett.Web.Designers.Guide.To.Adobe.Photoshop.Dec.2005.ISBN.1598220012.chm,"HOIHOI
",9706476677310 ,Available,Chinese,"Excellence Publication Company Limited
",CS
10143,Peachpit.Press.Understanding.Adobe.Photoshop.CS6.Aug.2012.ISBN.0321834623.pdf,"HOIGEI
",9901279601128 ,Available,English,"Advance Forward Education Limited
",CS
10144,Photoshop.CS6.for.dummies.pdf,"HOISEUK
",9735926905026 ,Available,Chinese,"Aristo Educational Press Ltd
",CS
10145,PHOTOSHOP影像修饰艺术.pdf,"HOIGA
",9173534345399 ,Available,English,"Cengage Learning Hong Kong Limited
",CS
10146,Que.Adobe.Photoshop.CS6.On.Demand.May.2012.ISBN.0789749335.pdf,"HOIYAT
",9433318468014 ,Available,Chinese,"Chinese Technical Press Ltd
",CS
10147,Wiley.Adobe.Photoshop.CC.For.Dummies.May.2013.ISBN.1118645758.pdf,"HOIBAN
",9228671341732 ,Available,English,"Chung Tai Educational Press
",CS
10148,Wiley.PhotoShop.For.Windows.Bible.Nov.2000.ISBN.0764534912.pdf,"HOIGEI
",9708230790456 ,Available,Chinese,"Classroom Publications Ltd
",CS
10149,Wiley.Photoshop.Nov.2014.ISBN.111899860X.pdf,"HOIYIN
",9590373465308 ,Available,English,"Crystal Education Publications
",CS
10150,1.chm,"HOINGAAN
",9548059481756 ,Available,Chinese,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CHEMICAL
10151,Apress.Learn PHP7.Dec.2015.ISBN.1484217292.pdf,"HOIYU
",9170906940025 ,Available,English,"Educational Publishing House Ltd
",CS
10152,Apress.Learn PHP7.source.code.zip,"HOILUNG
",9957810311111 ,Available,Chinese,"Erudite Publishing House
",CS
10153,Apress.Pro.PHP.and.Jquery.2nd.Edition.Mar.2016.ISBN.1484212312.pdf,"HOIFUK
",9246323735424 ,Available,English,"Excellence Publication Company Limited
",CS
10154,Code_Learning.PHP.Data.Objects.zip,"HOIDAK
",9116677555024 ,Available,Chinese,"Advance Forward Education Limited
",CS
10155,Head First PHP & MySQL(中文版).pdf,"HOIYAU
",9006885573477 ,Available,English,"Aristo Educational Press Ltd
",CS
10156,Joomla快速建站指南.pdf,"HOITIN
",9091070107065 ,Available,Chinese,"Cengage Learning Hong Kong Limited
",CS
10157,Learning.PHP.Data.Objects.Packt.Aug.2007.ISBN.1847192661.pdf,"HOIGAAI
",9352049736739 ,Available,English,"Chinese Technical Press Ltd
",CS
10158,Linux学习笔记基础知识版.pdf,"HOIHOI
",9739120712226 ,Available,Chinese,"Chung Tai Educational Press
",CS
10159,PHP HandBook 2005.CHM,"HOIYIU
",9913066835868 ,Available,English,"Classroom Publications Ltd
",CS
10160,PHP HandBook 2009.chm,"HOISEUN
",9034823995309 ,Available,Chinese,"Crystal Education Publications
",CS
10161,PHP HandBook 2011.chm,"HOIGA
",9866409396960 ,Available,English,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10162,php&amp;mysql.pdf,"HOICHEUK
",9535255766069 ,Available,Chinese,"Educational Publishing House Ltd
",CS
10163,PHP-Debug-Manual-public.pdf,"HOIBOK
",9791725163477 ,Available,English,"Erudite Publishing House
",CS
10164,PHP5权威编程.pdf,"HOIHIU
",9742903529737 ,Available,Chinese,"Excellence Publication Company Limited
",CS
10165,PHP从入门到精通(第2版).pdf,"HOICHI
",9868314561076 ,Available,English,"Advance Forward Education Limited
",CS
10166,PHP从入门到精通影印版.pdf,"HOIYIU
",9652057107330 ,Available,Chinese,"Aristo Educational Press Ltd
",CS
10167,PHP和MySQL WEB开发(4th)-中文版.pdf,"HOIYAT
",9808735166261 ,Available,English,"Cengage Learning Hong Kong Limited
",CS
10168,PHP基础教程.第4版.pdf,"HOILUNG
",9680470053323 ,Available,Chinese,"Chinese Technical Press Ltd
",CS
10169,PHP手册.chm,"HOICHING
",9927017227997 ,Available,English,"Chung Tai Educational Press
",CS
10170,PHP核心技术与最佳实践.pdf,"HOIGAAI
",9934676205583 ,Available,Chinese,"Classroom Publications Ltd
",CS
10171,PHP精粹_编写高效PHP代码.pdf,"HOIBONG
",9148570750616 ,Available,English,"Crystal Education Publications
",CS
10172,PHP编程起步自学教程.pdf,"HOILAI
",9443131087513 ,Available,Chinese,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10173,PHP高级程序设计_模式、框架与测试.pdf,"HOISING
",9598612515947 ,Available,English,"Educational Publishing House Ltd
",CS
10174,[PHP基础教程(第4版)].(美)Larry.Ullman著.贾菡等译.人民邮电出版.2011.10.pdf,"HOICHEUNG
",9532216598085 ,Available,Chinese,"Erudite Publishing House
",CS
10175,《PHP5应用实例详解》.pdf,"HOIKEUNG
",9772901718891 ,Available,English,"Excellence Publication Company Limited
",CS
10176,《php网络编程》.(姜林美等).[pdf]&amp;ckook.pdf,"HOISAM
",9686121898997 ,Available,Chinese,"Advance Forward Education Limited
",CS
10177,从零开始学PHP.pdf,"HOIPAANG
",9275878659791 ,Available,English,"Aristo Educational Press Ltd
",CS
10178,大话数据结构.pdf,"HOIFAAN
",9178285286539 ,Available,Chinese,"Cengage Learning Hong Kong Limited
",CS
10179,数据结构(C语言版).pdf,"HOIKYUN
",9965303132458 ,Available,English,"Chinese Technical Press Ltd
",CS
10180,沉思录 - Marcus Aurelius Antoninus Augustus.pdf,"HOISING
",9194245318009 ,Available,Chinese,"Chung Tai Educational Press
",MENTAL HEALTH
10181,深入PHP：面向对象、模式与实践(第三版)中文_有书签.pdf,"HOIHOU
",9300962185384 ,Available,English,"Classroom Publications Ltd
",CS
10182,精通css-高级web标准解决方案.pdf,"HOIGA
",9989339924900 ,Available,Chinese,"Crystal Education Publications
",CS
10183,No.Starch.The.TCPIP.Guide.Oct.2005.ISBN.159327047X .pdf,"HOIYUN
",9148016167915 ,Available,English,"Department of Electrical and Electronic Engineering, The University of Hong Kong
",CS
10184,unity 4.x 从入门到精通.pdf,"HOINGAAN
",9186531798337 ,Available,Chinese,"Educational Publishing House Ltd
",CS
10185,Unity.In.Action-Multiplatform.Game.Development.in.C#-Joseph Hocking.pdf,"HOILAM
",9077733699037 ,Available,English,"Erudite Publishing House
",CS
10186,Unity3D圣典中文脚本.chm,"HOICHO
",9697448284639 ,Available,Chinese,"Excellence Publication Company Limited
",CS
10187,Unity5实战使用C#和Unity开发多平台游戏 配套源码.zip,"HOIJI
",9519644852494 ,Available,English,"Advance Forward Education Limited
",CS
10188,Unity官方案例精讲-Disk.part1.rar,"HOIYAT
",9688663233876 ,Available,Chinese,"Aristo Educational Press Ltd
",CS
10189,Unity官方案例精讲-Disk.part2.rar,"HOIJIT
",9613701191050 ,Available,English,"Cengage Learning Hong Kong Limited
",CS
10190,Unity官方案例精讲.pdf,"HOIJUNG
",9365218453733 ,Available,Chinese,"Chinese Technical Press Ltd
",CS
10191,Death By China - Peter Navarro.pdf,"HOININ
",9096294435018 ,Available,English,"Chung Tai Educational Press
",COUNTRY
10192,你的第一本思维导图操作书.pdf,"HOIJEUN
",9624959463153 ,Available,Chinese,"Classroom Publications Ltd
",TEACH
